date,Real GDP (Level),Nominal GDP,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Exports of Goods and Services,Real Imports of Goods and Services,Government Consumption Expenditures and Gross Investment
1961-01-01,"363,923","40,600","193,805","65,003","46,662","40,502","98,078"
1961-04-01,"373,138","41,496","197,421","66,671","46,147","40,380","98,488"
1961-07-01,"382,218","42,604","202,241","68,920","47,593","40,748","102,535"
1961-10-01,"387,418","43,404","203,009","69,002","48,603","43,695","101,886"
1962-01-01,"397,727","44,624","207,687","70,032","49,066","43,730","102,819"
1962-04-01,"400,888","45,132","208,873","69,670","49,234","42,567","106,688"
1962-07-01,"406,015","46,068","207,986","71,924","48,435","42,134","105,117"
1962-10-01,"413,982","47,132","211,777","71,337","51,033","40,730","106,750"
1963-01-01,"416,607","47,584","213,212","70,786","51,470","40,931","108,820"
1963-04-01,"422,666","48,556","217,082","72,306","52,627","42,067","108,732"
1963-07-01,"425,878","49,352","218,342","73,560","52,990","43,808","111,041"
1963-10-01,"439,206","51,360","222,099","76,819","58,081","45,567","111,683"
1964-01-01,"450,201","52,576","226,274","80,229","59,034","47,335","117,906"
1964-04-01,"451,887","53,420","226,918","81,254","62,863","49,050","115,836"
1964-07-01,"456,710","54,580","231,404","82,545","61,906","48,309","115,021"
1964-10-01,"459,001","55,324","233,048","87,903","60,607","49,511","118,321"
1965-01-01,"473,602","57,268","235,172","87,995","61,111","52,256","120,100"
1965-04-01,"477,938","58,656","240,839","89,183","61,979","53,563","120,618"
1965-07-01,"484,608","60,064","244,765","93,874","64,446","55,265","122,173"
1965-10-01,"496,485","62,216","249,765","96,913","67,960","59,164","124,812"
1966-01-01,"506,146","64,320","251,393","100,003","69,039","60,037","127,441"
1966-04-01,"517,072","66,488","252,687","103,047","70,275","61,037","131,224"
1966-07-01,"516,825","67,364","257,358","102,134","74,547","63,151","134,400"
1966-10-01,"523,230","68,648","257,448","103,399","75,183","65,454","138,573"
1967-01-01,"522,051","69,484","259,850","103,633","76,494","65,567","138,765"
1967-04-01,"532,927","71,744","264,618","103,225","81,365","66,304","144,793"
1967-07-01,"534,607","72,380","264,291","101,783","80,992","66,234","145,585"
1967-10-01,"536,936","73,640","269,596","100,335","81,223","65,677","147,147"
