Asset Name,Last Close,1M % Chg,YTD % Chg,52w Low,52w High,52w Range,Last 10 Days Return,Category
EWP ETF,57.44,6.686478454680524,6.547950287516232,36.89,58.26,21.369999999999997,"[-0.95, 0.5, 4.0, 1.16, -0.15, 0.78, -0.02, 3.76, 0.12, 0.02]",ETFs - Countries
EWU ETF,47.67,2.9812054439403814,8.39017735334244,34.67,48.68,14.009999999999998,"[-0.23, 0.73, 2.52, 1.73, -0.26, 0.41, -0.22, 3.24, -0.38, 0.06]",ETFs - Countries
EWG ETF,41.6,1.2411779021659721,-2.1176470588235263,35.8,44.56,8.760000000000005,"[-1.53, 0.76, 3.39, 1.34, -0.75, 0.78, -0.25, 4.06, -0.29, -0.05]",ETFs - Countries
EUSA ETF,104.17,-1.549948020035914,0.7739189319918711,86.43,108.29,21.86,"[-1.46, -0.31, 2.3, 0.33, 0.43, 0.36, -0.2, 2.3, -0.18, -0.68]",ETFs - Countries
EWH ETF,23.88,3.197925669835775,12.37647058823529,15.77,24.21,8.440000000000001,"[-0.84, 0.0, 3.17, 0.69, -0.39, 0.47, -0.09, 2.24, 0.29, 0.17]",ETFs - Countries
EIS ETF,125.59,1.372185002825089,14.141597746069257,72.3,125.83,53.53,"[-3.93, -3.21, 5.27, 2.13, -0.56, 0.43, 0.01, 3.39, 1.25, 1.36]",ETFs - Countries
VEA ETF,67.74,2.776513427400999,8.436049303665753,48.09,70.31,22.22,"[-0.69, -0.03, 3.3, 1.65, -0.77, 0.74, -0.05, 4.19, -0.4, 0.28]",ETFs - Popular
SPY ETF,679.46,0.17544635617085447,-0.360746128578121,513.88,695.49,181.61,"[-1.71, -0.33, 2.91, 0.75, 0.09, 0.47, 0.04, 2.55, 0.58, -0.07]",ETFs - Popular
USMV ETF,92.75,-4.025248344370862,-1.4974511469838536,88.2,97.81,9.61,"[-1.18, 0.63, 1.15, -0.08, 0.74, 0.06, -0.22, 0.98, -0.28, -1.18]",ETFs - Popular
VTI ETF,335.05,0.23034581787724026,-0.06561875503324797,252.6,343.27,90.66999999999999,"[-2.02, -0.45, 2.93, 0.76, 0.16, 0.45, 0.07, 2.54, 0.52, -0.12]",ETFs - Popular
GSG ETF,30.96,6.6482948673785724,34.25845620121423,20.75,33.52,12.770000000000003,"[3.49, 1.65, -1.01, -1.05, 4.83, 0.21, -0.57, -6.69, 0.96, -1.4]",ETFs - Popular
QQQ ETF,611.07,0.5446228774516354,-0.527421008936839,433.11,635.77,202.65999999999997,"[-1.95, -0.76, 3.39, 1.24, 0.11, 0.6, 0.02, 2.97, 0.68, 0.14]",ETFs - Popular
EEM ETF,60.56,3.6099230111206144,10.692743556936577,40.48,63.31,22.830000000000005,"[-0.49, -0.82, 3.73, 0.77, -1.12, 0.92, 0.35, 5.46, -0.26, 0.46]",ETFs - Popular
ARKK ETF,69.29,-6.730380939561178,-9.919396775871029,44.44,92.53,48.09,"[-4.1, -1.72, 6.41, 1.2, 0.23, 0.35, -0.06, 2.33, -2.05, 0.54]",ETFs - Popular
