date,Average Hourly Earnings (Total Private),Private Service-Providing,Federal,State Government,Local Government,Full-Time Employment,Part-Time Employment,Manufacturing,Total Nonfarm,Construction,Education and Health Services,Financial Activities,Goods-Producing,Government,Information,Leisure and Hospitality,Mining and Logging,Professional and Business Services,Total Private,Other Services,Trade Transportation and Utilities
2006-03-01,20.04,91568,2733,5059,14111,119175,24542,14210,136038,7689,18042,8352,22567,21903,3055,13034,668,17530,114135,5426,26129
2006-04-01,20.17,91664,2733,5064,14122,119336,24325,14223,136210,7726,18068,8374,22627,21919,3047,13074,678,17552,114291,5426,26123
2006-05-01,20.13,91729,2734,5072,14120,119033,24989,14200,136249,7713,18100,8376,22594,21926,3039,13052,681,17611,114323,5435,26116
2006-06-01,20.22,91821,2736,5069,14117,119615,24774,14210,136337,7699,18109,8366,22594,21922,3036,13061,685,17680,114415,5433,26136
2006-07-01,20.29,91969,2740,5075,14158,119680,24477,14185,136529,7712,18133,8366,22587,21973,3031,13130,690,17720,114556,5428,26161
2006-08-01,20.32,92115,2733,5084,14194,119948,24629,14154,136692,7720,18186,8372,22566,22011,3035,13152,692,17766,114681,5432,26172
2006-09-01,20.40,92211,2732,5099,14251,120308,24549,14120,136826,7718,18251,8386,22533,22082,3028,13150,695,17756,114744,5447,26193
2006-10-01,20.42,92326,2731,5097,14240,120609,24784,14068,136843,7682,18287,8381,22449,22068,3024,13187,699,17760,114775,5454,26233
2006-11-01,20.49,92577,2729,5100,14254,120573,24958,14034,137060,7666,18333,8391,22400,22083,3024,13251,700,17828,114977,5457,26293
2006-12-01,20.58,92763,2730,5098,14260,120793,25226,14009,137249,7685,18377,8391,22398,22088,3034,13292,704,17863,115161,5466,26340
2007-01-01,20.59,92943,2731,5087,14277,121159,24986,14004,137472,7725,18413,8388,22434,22095,3030,13338,705,17927,115377,5466,26381
2007-02-01,20.68,93100,2732,5114,14285,121020,25016,13993,137560,7626,18452,8393,22329,22131,3034,13361,710,17960,115429,5474,26426
2007-03-01,20.72,93251,2731,5118,14300,121168,25144,13964,137784,7706,18508,8383,22384,22149,3030,13363,714,17990,115635,5485,26492
2007-04-01,20.79,93327,2732,5121,14322,120325,25143,13939,137847,7686,18563,8364,22345,22175,3035,13375,720,18008,115672,5491,26491
2007-05-01,20.84,93483,2733,5121,14339,120902,24932,13922,137992,7673,18609,8370,22316,22193,3040,13404,721,18042,115799,5498,26520
2007-06-01,20.95,93548,2729,5131,14347,120689,25435,13903,138070,7687,18660,8369,22315,22207,3038,13413,725,18053,115863,5501,26514
2007-07-01,20.94,93604,2727,5119,14325,120960,24897,13881,138044,7660,18695,8370,22269,22171,3037,13417,728,18057,115873,5500,26528
2007-08-01,21.00,93628,2738,5110,14378,120824,24753,13821,138013,7610,18751,8342,22159,22226,3028,13419,728,18067,115787,5496,26525
2007-09-01,21.04,93731,2737,5137,14405,121232,24996,13784,138099,7577,18806,8317,22089,22279,3031,13461,728,18066,115820,5493,26557
2007-10-01,21.06,93828,2734,5132,14431,121378,24680,13756,138175,7565,18849,8304,22050,22297,3028,13499,729,18101,115878,5494,26553
2007-11-01,21.12,93948,2744,5137,14453,121875,24758,13751,138290,7523,18875,8290,22008,22334,3025,13535,734,18102,115956,5507,26614
2007-12-01,21.16,94051,2756,5139,14481,121609,24745,13739,138395,7490,18924,8280,21968,22376,3026,13550,739,18148,116019,5515,26608
2008-01-01,21.19,94064,2738,5148,14502,121435,25067,13717,138391,7476,18976,8276,21939,22388,3026,13542,746,18138,116003,5520,26586
2008-02-01,21.27,94022,2747,5145,14525,121474,24692,13690,138329,7453,19019,8271,21890,22417,3019,13543,747,18093,115912,5532,26545
2008-03-01,21.36,94006,2752,5153,14538,121426,24715,13650,138259,7406,19069,8270,21810,22443,3021,13531,754,18051,115816,5539,26525
2008-04-01,21.38,93919,2755,5157,14538,120708,25352,13589,138040,7327,19129,8260,21671,22450,3013,13511,755,18041,115590,5540,26425
2008-05-01,21.47,93775,2757,5162,14564,120766,25063,13555,137851,7274,19166,8249,21593,22483,3008,13498,764,17984,115368,5532,26338
2008-06-01,21.52,93708,2759,5179,14579,120388,25416,13494,137700,7213,19232,8238,21475,22517,3001,13482,768,17940,115183,5525,26290
2008-07-01,21.60,93580,2767,5191,14610,120206,25288,13419,137497,7160,19283,8218,21349,22568,2987,13463,770,17881,114929,5522,26226
2008-08-01,21.70,93402,2766,5214,14587,119534,25595,13348,137211,7114,19339,8205,21242,22567,2972,13431,780,17817,114644,5512,26126
2008-09-01,21.73,93128,2768,5184,14585,119724,25327,13267,136760,7044,19343,8171,21095,22537,2962,13379,784,17748,114223,5512,26013
2008-10-01,21.76,92856,2772,5182,14595,119349,25508,13138,136291,6967,19358,8137,20886,22549,2951,13352,781,17640,113742,5516,25902
2008-11-01,21.86,92366,2778,5194,14588,118397,25666,13026,135541,6813,19397,8098,20615,22560,2931,13300,776,17468,112981,5476,25696
2008-12-01,21.95,91978,2775,5191,14590,117096,26333,12842,134847,6701,19438,8067,20313,22556,2911,13256,770,17337,112291,5446,25523
2009-01-01,21.96,91621,2786,5206,14587,115818,26377,12552,134079,6567,19494,8018,19879,22579,2891,13222,760,17183,111500,5430,25383
2009-02-01,21.98,91177,2795,5190,14591,114783,26722,12371,133318,6446,19508,7970,19565,22576,2878,13193,748,16988,110742,5411,25229
2009-03-01,22.05,90720,2797,5180,14583,113607,27069,12196,132494,6291,19514,7929,19214,22560,2864,13127,727,16837,109934,5383,25066
2009-04-01,22.10,90264,2922,5182,14573,113298,27279,12017,131822,6154,19519,7873,18881,22677,2832,13056,710,16703,109145,5372,24909
2009-05-01,22.12,90205,2860,5187,14570,112929,27239,11850,131466,6100,19581,7842,18644,22617,2807,13106,694,16652,108849,5368,24849
2009-06-01,22.14,90023,2814,5176,14586,112745,27459,11713,131008,6010,19619,7820,18409,22576,2795,13076,686,16547,108432,5371,24795
2009-07-01,22.18,89877,2826,5122,14573,112406,27737,11654,130662,5932,19632,7805,18264,22521,2778,13078,678,16524,108141,5368,24692
