date,Domestic Financial Sector Equities,Central Government Debt Liabilities,Nonfinancial Corporate Equities,State Local Government Debt Liabilities,Nonfinancial Corporate Debt Liabilities,Household Nonprofit Debt Liabilities,Rest Of World Debt Liabilities
2022-01-01,14530162,26035871,51242409,3404927,18501226,12971989,4848976
2022-04-01,12522283,26070381,42362863,3414188,18871410,13121887,4674249
2022-07-01,12046923,26488094,40369805,3408969,19199244,13148674,4586130
2022-10-01,13119539,26851376,42069774,3388569,19417125,13150107,4592877
2023-01-01,13085977,27248228,45421673,3391873,19451329,13329521,4665989
2023-04-01,13704901,27766009,48934648,3397855,19617414,13340779,4674001
2023-07-01,13491674,28668652,46925146,3392660,19794292,13348965,4625830
2023-10-01,15211200,29471810,51749358,3405589,19956700,13375288,4716602
2024-01-01,16576834,30039201,56642367,3417811,20023886,13538595,4673085
2024-04-01,16913927,30153180,58187988,3454164,20178009,13668416,4787856
2024-07-01,18393725,30897426,61385066,3483596,20346193,13797331,4922856
2024-10-01,19090647,31616718,62735890,3499428,20290857,13700841,5119232
2025-01-01,19249363,31894622,58814358,3527108,20299279,13848407,5353085
2025-04-01,20732136,31834420,65209699,3586586,20466517,13929773,5545779
2025-07-01,22302892,33113796,71340142,3633398,20702452,14069163,5656660
2025-10-01,23191518,33908985,73132723,3666493,20934549,14182611,5805091
