date,Official Reserves Excluding Gold
2022-07-01,226993.1406418
2022-08-01,223071.0206687
2022-09-01,219111.6886175
2022-10-01,221754.5266882
2022-11-01,228625.6307910
2022-12-01,232716.6370278
2023-01-01,236062.8119685
2023-02-01,232435.2800091
2023-03-01,235948.8424585
2023-04-01,235645.2896307
2023-05-01,231972.6592100
2023-06-01,232967.2868077
2023-07-01,233966.8346705
2023-08-01,232761.5660715
2023-09-01,229949.2056161
2023-10-01,229672.5445538
2023-11-01,232346.9582185
2023-12-01,234110.8018118
2024-01-01,232964.7191728
2024-02-01,232645.5019328
2024-03-01,232761.2487052
2024-04-01,230561.2503514
2024-05-01,232014.5529086
2024-06-01,231079.0984323
2024-07-01,234180.4191377
2024-08-01,238053.0888163
2024-09-01,239578.4265447
2024-10-01,232884.0262017
2024-11-01,230423.1757015
2024-12-01,227759.6981987
2025-01-01,228907.5028897
2025-02-01,230169.1380269
2025-03-01,234587.2036941
2025-04-01,242800.4911493
2025-05-01,243081.5537560
2025-06-01,244638.0864676
2025-07-01,240553.2915149
2025-08-01,244306.6507087
2025-09-01,244450.1907759
2025-10-01,240907.9509210
2025-11-01,241368.2164767
2025-12-01,243272.1013583
2026-01-01,245191.1447994
2026-02-01,244880.3668651
2026-03-01,241283.1165494
