date,Net International Investment Position Annual
2006-01-01,-1807819
2007-01-01,-1278830
2008-01-01,-3994625
2009-01-01,-2626940
2010-01-01,-2511072
2011-01-01,-4454616
2012-01-01,-4569528
2013-01-01,-5443587
2014-01-01,-7021188
2015-01-01,-7590470
2016-01-01,-8258387
2017-01-01,-7830723
2018-01-01,-9795821
2019-01-01,-11666440
2020-01-01,-14721004
2021-01-01,-18832520
2022-01-01,-16161430
2023-01-01,-20416524
2024-01-01,-26539470
2025-01-01,-27537021
