date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-01-07,US 10Y NOTE,479653,1169911,87242,120169,12.8,31.2
2020-01-14,US 10Y NOTE,350915,1101737,-128738,-68174,9.5,29.9
2020-01-21,US 10Y NOTE,338032,1146177,-12883,44440,9,30.4
2020-01-28,US 10Y NOTE,393997,1159283,55965,13106,10.1,29.8
2020-02-04,US 10Y NOTE,368111,1185280,-25886,25997,9,29.1
2020-02-11,US 10Y NOTE,385504,1179970,17393,-5310,9.3,28.4
2020-02-18,US 10Y NOTE,480743,1204886,95239,24916,11.2,28.1
2020-02-25,US 10Y NOTE,467015,1162678,-13728,-42208,11.1,27.6
2020-03-03,US 10Y NOTE,498553,1245886,31538,83208,12.7,31.8
2020-03-10,US 10Y NOTE,477568,1174070,-20985,-71816,12.7,31.2
2020-03-17,US 10Y NOTE,468058,1139024,-9510,-35046,12.8,31.1
2020-03-24,US 10Y NOTE,414324,1105172,-53734,-33852,12.1,32.4
2020-03-31,US 10Y NOTE,442521,1002126,28197,-103046,13.6,30.8
2020-04-07,US 10Y NOTE,469915,984011,27394,-18115,14.6,30.6
2020-04-14,US 10Y NOTE,473570,990727,3655,6716,14.6,30.6
2020-04-21,US 10Y NOTE,466294,973375,-7276,-17352,14.4,30.1
2020-04-28,US 10Y NOTE,454703,956439,-11591,-16936,13.8,29.1
2020-05-05,US 10Y NOTE,463170,1071389,8467,114950,13.7,31.6
2020-05-12,US 10Y NOTE,447296,1092292,-15874,20903,13.1,31.9
2020-05-19,US 10Y NOTE,468390,1146103,21094,53811,13.4,32.8
2020-05-26,US 10Y NOTE,494719,1085290,26329,-60813,13.6,29.9
2020-06-02,US 10Y NOTE,435851,1135725,-58868,50435,13.1,34.1
2020-06-09,US 10Y NOTE,479349,1009406,43498,-126319,14.5,30.5
2020-06-16,US 10Y NOTE,435952,997481,-43397,-11925,13.3,30.5
2020-06-23,US 10Y NOTE,457184,953907,21232,-43574,13.8,28.9
2020-06-30,US 10Y NOTE,505700,1009123,48516,55216,14.7,29.3
2020-07-07,US 10Y NOTE,500479,979604,-5221,-29519,14.6,28.6
2020-07-14,US 10Y NOTE,496211,958139,-4268,-21465,14.5,28
2020-07-21,US 10Y NOTE,475751,935810,-20460,-22329,13.9,27.3
2020-07-28,US 10Y NOTE,487799,949933,12048,14123,13.9,27.1
2020-08-04,US 10Y NOTE,522905,937436,35106,-12497,15,26.9
2020-08-11,US 10Y NOTE,499415,969323,-23490,31887,14.2,27.6
2020-08-18,US 10Y NOTE,470354,867667,-29061,-101656,13.4,24.7
2020-08-25,US 10Y NOTE,418576,727671,-51778,-139996,11.7,20.4
2020-09-01,US 10Y NOTE,430313,738359,11737,10688,12.8,22
2020-09-08,US 10Y NOTE,418109,780069,-12204,41710,12.5,23.4
2020-09-15,US 10Y NOTE,369206,745302,-48903,-34767,11.3,22.8
2020-09-22,US 10Y NOTE,375291,690837,6085,-54465,11.5,21.2
2020-09-29,US 10Y NOTE,387506,687420,12215,-3417,11.8,20.9
2020-10-06,US 10Y NOTE,376638,687256,-10868,-164,11.6,21.1
